Date : 2022-12-07 22:12:23
Directory : d:\OOAD Project\Veta
Total : 74 files,  6458 codes, 614 comments, 526 blanks, all 7598 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| ios\Runner\Base.lproj                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                           |         27 |      4,946 |        334 |        265 |      5,545 |
| lib\screens                                                                                   |         22 |      4,730 |        261 |        237 |      5,228 |
| lib\util                                                                                      |          2 |         30 |          0 |          5 |         35 |
| linux                                                                                         |          5 |         94 |         27 |         38 |        159 |
| linux\flutter                                                                                 |          2 |          8 |          9 |         11 |         28 |
| macos                                                                                         |          5 |        449 |          3 |         12 |        464 |
| macos\Flutter                                                                                 |          1 |         18 |          3 |          4 |         25 |
| macos\Runner                                                                                  |          4 |        431 |          0 |          8 |        439 |
| macos\Runner\Assets.xcassets                                                                  |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                               |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                       |          1 |        343 |          0 |          1 |        344 |
| test                                                                                          |          1 |         14 |         10 |          7 |         31 |
| web                                                                                           |          2 |         72 |         16 |          7 |         95 |
| windows                                                                                       |         10 |        407 |         80 |        131 |        618 |
| windows\flutter                                                                               |          2 |         11 |          9 |         11 |         31 |
| windows\runner                                                                                |          8 |        396 |         71 |        120 |        587 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                      | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\OOAD Project\Veta\README.md                                                                | Markdown   |          1 |          0 |          2 |          3 |
| d:\OOAD Project\Veta\analysis_options.yaml                                                    | YAML       |          3 |         23 |          4 |         30 |
| d:\OOAD Project\Veta\android\app\build.gradle                                                 | Groovy     |         57 |          5 |         13 |         75 |
| d:\OOAD Project\Veta\android\app\google-services.json                                         | JSON       |         39 |          0 |          0 |         39 |
| d:\OOAD Project\Veta\android\app\src\debug\AndroidManifest.xml                                | XML        |          4 |          4 |          1 |          9 |
| d:\OOAD Project\Veta\android\app\src\main\AndroidManifest.xml                                 | XML        |         30 |          6 |          1 |         37 |
| d:\OOAD Project\Veta\android\app\src\main\java\io\flutter\app\FlutterMultiDexApplication.java | Java       |         13 |          9 |          4 |         26 |
| d:\OOAD Project\Veta\android\app\src\main\res\drawable-v21\launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| d:\OOAD Project\Veta\android\app\src\main\res\drawable\launch_background.xml                  | XML        |          4 |          7 |          2 |         13 |
| d:\OOAD Project\Veta\android\app\src\main\res\values-night\styles.xml                         | XML        |          9 |          9 |          1 |         19 |
| d:\OOAD Project\Veta\android\app\src\main\res\values\styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| d:\OOAD Project\Veta\android\app\src\profile\AndroidManifest.xml                              | XML        |          4 |          4 |          1 |          9 |
| d:\OOAD Project\Veta\android\build.gradle                                                     | Groovy     |         28 |          0 |          5 |         33 |
| d:\OOAD Project\Veta\android\gradle.properties                                                | Properties |          3 |          0 |          1 |          4 |
| d:\OOAD Project\Veta\android\gradle\wrapper\gradle-wrapper.properties                         | Properties |          5 |          0 |          1 |          6 |
| d:\OOAD Project\Veta\android\settings.gradle                                                  | Groovy     |          8 |          0 |          4 |         12 |
| d:\OOAD Project\Veta\ios\Runner\AppDelegate.swift                                             | Swift      |         12 |          0 |          2 |         14 |
| d:\OOAD Project\Veta\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json              | JSON       |        122 |          0 |          1 |        123 |
| d:\OOAD Project\Veta\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json            | JSON       |         23 |          0 |          1 |         24 |
| d:\OOAD Project\Veta\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                | Markdown   |          3 |          0 |          2 |          5 |
| d:\OOAD Project\Veta\ios\Runner\Base.lproj\LaunchScreen.storyboard                            | XML        |         36 |          1 |          1 |         38 |
| d:\OOAD Project\Veta\ios\Runner\Base.lproj\Main.storyboard                                    | XML        |         25 |          1 |          1 |         27 |
| d:\OOAD Project\Veta\ios\Runner\Runner-Bridging-Header.h                                      | C++        |          1 |          0 |          1 |          2 |
| d:\OOAD Project\Veta\lib\constants.dart                                                       | Dart       |         94 |         60 |         12 |        166 |
| d:\OOAD Project\Veta\lib\firebase_options.dart                                                | Dart       |         71 |         12 |          6 |         89 |
| d:\OOAD Project\Veta\lib\main.dart                                                            | Dart       |         21 |          1 |          5 |         27 |
| d:\OOAD Project\Veta\lib\screens\appointment_request.dart                                     | Dart       |        479 |          8 |         11 |        498 |
| d:\OOAD Project\Veta\lib\screens\auth_page.dart                                               | Dart       |         24 |          2 |          6 |         32 |
| d:\OOAD Project\Veta\lib\screens\book_appointment.dart                                        | Dart       |        689 |         60 |         39 |        788 |
| d:\OOAD Project\Veta\lib\screens\check_login_status.dart                                      | Dart       |         31 |          0 |          3 |         34 |
| d:\OOAD Project\Veta\lib\screens\dashboard_loader.dart                                        | Dart       |         26 |          1 |          6 |         33 |
| d:\OOAD Project\Veta\lib\screens\data_getter.dart                                             | Dart       |         64 |          4 |         13 |         81 |
| d:\OOAD Project\Veta\lib\screens\doctor_appointments.dart                                     | Dart       |        357 |          7 |          8 |        372 |
| d:\OOAD Project\Veta\lib\screens\doctor_dash.dart                                             | Dart       |        137 |          3 |          4 |        144 |
| d:\OOAD Project\Veta\lib\screens\doctor_details.dart                                          | Dart       |         93 |         28 |          6 |        127 |
| d:\OOAD Project\Veta\lib\screens\doctor_notification.dart                                     | Dart       |         63 |          3 |          5 |         71 |
| d:\OOAD Project\Veta\lib\screens\forgot_pw_page.dart                                          | Dart       |         96 |          3 |         10 |        109 |
| d:\OOAD Project\Veta\lib\screens\global.dart                                                  | Dart       |          1 |          0 |          1 |          2 |
| d:\OOAD Project\Veta\lib\screens\mobile_body.dart                                             | Dart       |        406 |          3 |          6 |        415 |
| d:\OOAD Project\Veta\lib\screens\notification_loader.dart                                     | Dart       |         28 |          1 |          6 |         35 |
| d:\OOAD Project\Veta\lib\screens\petcare_form.dart                                            | Dart       |        322 |         34 |         27 |        383 |
| d:\OOAD Project\Veta\lib\screens\responsive_layout.dart                                       | Dart       |         25 |          0 |          4 |         29 |
| d:\OOAD Project\Veta\lib\screens\select_doctor.dart                                           | Dart       |        119 |         23 |          8 |        150 |
| d:\OOAD Project\Veta\lib\screens\signin_page.dart                                             | Dart       |        228 |         11 |         19 |        258 |
| d:\OOAD Project\Veta\lib\screens\signup_page.dart                                             | Dart       |        509 |         25 |         32 |        566 |
| d:\OOAD Project\Veta\lib\screens\test.dart                                                    | Dart       |        472 |          9 |          9 |        490 |
| d:\OOAD Project\Veta\lib\screens\user_appointments.dart                                       | Dart       |        498 |         33 |          9 |        540 |
| d:\OOAD Project\Veta\lib\screens\user_notification.dart                                       | Dart       |         63 |          3 |          5 |         71 |
| d:\OOAD Project\Veta\lib\util\my_box.dart                                                     | Dart       |         15 |          0 |          2 |         17 |
| d:\OOAD Project\Veta\lib\util\my_tile.dart                                                    | Dart       |         15 |          0 |          3 |         18 |
| d:\OOAD Project\Veta\linux\flutter\generated_plugin_registrant.cc                             | C++        |          3 |          4 |          5 |         12 |
| d:\OOAD Project\Veta\linux\flutter\generated_plugin_registrant.h                              | C++        |          5 |          5 |          6 |         16 |
| d:\OOAD Project\Veta\linux\main.cc                                                            | C++        |          5 |          0 |          2 |          7 |
| d:\OOAD Project\Veta\linux\my_application.cc                                                  | C++        |         74 |         11 |         20 |        105 |
| d:\OOAD Project\Veta\linux\my_application.h                                                   | C++        |          7 |          7 |          5 |         19 |
| d:\OOAD Project\Veta\macos\Flutter\GeneratedPluginRegistrant.swift                            | Swift      |         18 |          3 |          4 |         25 |
| d:\OOAD Project\Veta\macos\Runner\AppDelegate.swift                                           | Swift      |          8 |          0 |          2 |         10 |
| d:\OOAD Project\Veta\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json            | JSON       |         68 |          0 |          1 |         69 |
| d:\OOAD Project\Veta\macos\Runner\Base.lproj\MainMenu.xib                                     | XML        |        343 |          0 |          1 |        344 |
| d:\OOAD Project\Veta\macos\Runner\MainFlutterWindow.swift                                     | Swift      |         12 |          0 |          4 |         16 |
| d:\OOAD Project\Veta\pubspec.yaml                                                             | YAML       |         33 |         59 |         14 |        106 |
| d:\OOAD Project\Veta\test\widget_test.dart                                                    | Dart       |         14 |         10 |          7 |         31 |
| d:\OOAD Project\Veta\web\index.html                                                           | HTML       |         37 |         16 |          6 |         59 |
| d:\OOAD Project\Veta\web\manifest.json                                                        | JSON       |         35 |          0 |          1 |         36 |
| d:\OOAD Project\Veta\windows\flutter\generated_plugin_registrant.cc                           | C++        |          6 |          4 |          5 |         15 |
| d:\OOAD Project\Veta\windows\flutter\generated_plugin_registrant.h                            | C++        |          5 |          5 |          6 |         16 |
| d:\OOAD Project\Veta\windows\runner\flutter_window.cpp                                        | C++        |         45 |          4 |         13 |         62 |
| d:\OOAD Project\Veta\windows\runner\flutter_window.h                                          | C++        |         20 |          5 |          9 |         34 |
| d:\OOAD Project\Veta\windows\runner\main.cpp                                                  | C++        |         30 |          4 |         10 |         44 |
| d:\OOAD Project\Veta\windows\runner\resource.h                                                | C++        |          9 |          6 |          2 |         17 |
| d:\OOAD Project\Veta\windows\runner\utils.cpp                                                 | C++        |         53 |          2 |         10 |         65 |
| d:\OOAD Project\Veta\windows\runner\utils.h                                                   | C++        |          8 |          6 |          6 |         20 |
| d:\OOAD Project\Veta\windows\runner\win32_window.cpp                                          | C++        |        183 |         15 |         48 |        246 |
| d:\OOAD Project\Veta\windows\runner\win32_window.h                                            | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                         |            |      6,458 |        614 |        526 |      7,598 |
+-----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
